Text,Is_Translated,Comment_Count,URL
"[Rental November-February in Strijp, viewing evening on Friday 4 November]Ha future house mate!We are from California and we are looking for a housemate to join us from November to February (with a view to permanent)The room in our cozy house at Strijp-S has a surface area of 15m2 and its own wash basin. The room is located on the second floor of the house. In addition to the beautiful room, the price also includes 4 roommates: Vera, Matthijs, Tijn and Eefje. We are a relaxed house in which everyone enjoys doing what he/she wants. Well you can join us almost every evening to eat together on the roof terrace and the doors are almost always open for a chat, to watch a series or a game.Station Strijp-S, the bus stop and the supermarket are within walking distance and you are within a few steps to the nice Strijp-s. In addition, you are within 15 minutes by bike at the TU, Fontys or in the city. The furniture in the room just stays. This entire package is yours for €375/month incl. g/w/l, internet and washing machine.Does this really suit you? Send a nice message about yourself and maybe we'll see you at the viewing evening on November 4!In love with the Cali House",True,28,https://www.facebook.com/groups/1379345962387168/posts/3360589527596125/
"Room available in the Bakkerstraat! (V)A room (studio) is becoming available in our house. We live with 6, of which 2 women and 3 men. We are therefore looking for a new female housemate who is at least 20 years old. We eat together regularly and there is room for your own thing. Further, we share a garden, kitchen and laundry room. The room that is being released is +/- 23 m2 with its own bathroom and toilet. The price for this is €345,- euro exclusively per month. The costs for GWL and internet are €155 euro per month.In terms of location, you're also super here. You walk out of the street and find yourself in the middle of the Woenselse market. 3 min walk to Fontys (Rachelsmolen) and 5 min bike to the TU/e and the station. The Albert Heijn and Lidl are also around the corner here.If you are interested you can send a message!Greetings,Baker's house!Tariq MeulendijksEvita PfenningsSven KuijstenEstelle CrottStef Suetens",True,17,https://www.facebook.com/groups/1379345962387168/posts/3363035144018230/
"Tijdelijke kamer eindhovenBeste kamerzoekenden,Aangezien ik een semester naar het buitenland ga komt er in ons huis een tijdelijke kamer vrij (vanaf 1 janurari tot eind mei). In ons huis kan iedereen zijn eigen ding doen maar er is wel altijd de mogelijkheid om samen te eten. Je komt samen te wonen met 5 andere huisgenoten (3 vrouwen en 2 mannen). Het huis ligt op 3 minuten fietsen van de jumbo en op ongeveer 10 minuten fietsen van de TU/e en de stad. Het huis heeft verder een ruime achtertuin.De kamer is ongeveer 10 m2 en heeft grote ramen, een eigen wasbak en een kleine kelder. De kamer kost 290 euro per maand. De kamer is gemeubileerd (bed, bureau(stoel), koelkast etc.). Je kant vanaf 1 januari inhuizen.Spreekt ons huis jou aan en kan jij op 16 november bij de kijkavond zijn? Stuur mij dan een berichtje via Messenger.Groetjes, huize Sem",False,11,https://www.facebook.com/groups/1379345962387168/posts/3358017371186674/
"HOMEMATE WANTED FROM 1 NOVEMBERBecause my two roommates are leaving Eindhoven, I am looking for two new roommates for a corner house at the Boschdijk.The room with its own bathroom is about 18 m2 and is located on the first floor.The largest room (with storage space) is about 30 m2 in size and is located on the top floor. Here you share a bathroom with me.The house is 4 minutes by bike from Strijp-S station, 10 minutes to the center. Jumbo and the Woenselse market within walking distance.We have a shared washing machine and dishwasher. These amenities, along with internet, are already included in the rent. (€940: rent, tv/internet, g/w/l)If you are interested in one of these rooms, send a message about yourself and who knows we will invite you to the viewing evening on Tuesday 25 October.You can't but you want to respond? No problem, we can always call!",True,9,https://www.facebook.com/groups/1379345962387168/posts/3363126810675730/
"Hey!  girls looking for a room wantedA beautiful, spacious room will be available in our house in December (before consultation)! The house is located on the Gestelsestraat, so super central. Albert Heijn around the corner, the city center within walking distance & the uni or Fontys 10 minutes by bike.You move in with 5 other roommates, 3 males & 2 females, all around 22. We are a cozy house, where everyone does their own thing, but where the doors are always open for each other. We are a very diverse house where we study and work a lot. You can usually find someone to do something fun with (watch movies, drink a drink, explore the stratum, AND even exercise) ! Also, we often eat together with the people back home & we all share the same love for good food. We think living in a clean home is very important, and therefore value our cleaning schedule.The room is on the top floor of the house. The room is approx. 14 m2 and costs +-€400 incl.Are you interested send us a nice PM! The viewing evening will take place on Monday 31 OctoberGreetings from the GB!Jurgen, Thijs, Zephyr, Rachel & Myla",True,33,https://www.facebook.com/groups/1379345962387168/posts/3357250751263336/
"**Only respond if you can make it to the viewing night October 31st & Dutch only**We are looking for a new roommate (m/f) for our student house at the Edisonstraat in Eindhoven. The room will be available mid-November.The room is 13 m2 and is located on the first floor at the front of the house. The rent is €338,- (incl. g/w/l on the internet)Other than that, there are the following amenities:- Shared bathroom, kitchen (with dishwasher), living room, washing machine, garden with barn and roof terrace- Free parking garage behind the house- Jumbo 2 minute walk distance- Woenselse market (AH & Lidl) 10 minute walk- Fontys and TU/e 10 minute bike ride- Strijp-S station 5 minutes walkYou will be living with 3 men and 3 women. We often eat together and have an occasional drink together. Once a year, we organize the nicest house party in Woensel-West! We also have a legendary cocktail day every year Does this look familiar? Send a quick message about yourself and who knows we'll invite you to the viewing evening on October 31.Sweet Home Fuck Nothin",True,29,https://www.facebook.com/groups/1379345962387168/posts/3362292660759145/
"Looking for a nice and active roommate!€275 incl. g/w/l/ (+/- 18 m2)Are you going to study in Eindhoven next year or did you start this year and do you want to make the most out of your study and student time? Then this spacious room in one of Eindhoven's coziest student houses might be something for you!We are an active men's house that eats together several times a week. In addition, we regularly drink a beer together in the city or enjoy the sun on our roof terrace. In the evening we'll be lazy enough on the couch while enjoying Netflix, Videoland, Disney+ or a game of Trackmania... you name it! Since corona is gone again, we can be found in between studying, often at tournaments, days out and fun parties.All rooms in the house have their own sink and fast internet connection. We have 2 showers, 2 toilets and 2 washing machines. There is also a dryer and a dishwasher. Further, we have a spacious kitchen with a dining table where we chill with each other a lot. In addition, we also have a large garden on the south where we often barbecue in the summer and there is a shed with a bar where we regularly burn.Not only is Stratum just a crawling distance and the TU/Fontys a 10 minute bike ride, you can also walk out the door almost directly to the two largest parks in the city center where we like to cube, kick a ball or relax in the summer.So if you are looking for a cozy student home where both your student life and your studies are important, send a message quickly and we will contact you!",True,7,https://www.facebook.com/groups/1379345962387168/posts/3361463127508765/
"FEMALE HOUSEMATE WANTED BY NOV 15! (Dutch only)Dear room seekers,Do you want to become part of the Martini family? Then we hope to welcome you in our home from +/- 15 Nov! Because one of our housemates is leaving us, we are looking for a nice spontaneous girl from the age of 20. The division in the house is currently 3 women, 2 men and you would then be part of that. In our home there are few obligations, but there are always people at home who are in for fun. This ranges from a night out to watching a movie on the couch, house nights or just having a nice drink.The room is 12m2 + 3m2 and the rent is 350,- including G/w/l. The good thing about this room is that your bed is already there, you just have to bring a mattress and you can move in. So you sleep (as seen in the pictures) in a built-in bunk bed, so you have all the space left to decorate. Because of that you can easily get rid of a couch, where we can chill again . We have a joint kitchen in which we often chill or eat together occasionally, a great garden where we can catch the sun and an ideal location, because you'll be at Stratum or the Kleine Berg in no time. The Albert Heijn is also around the corner and within 10 minutes of cycling you'll be at the station.Are you looking for a room and would you like to come and live with us? Will you also be there on our date of the viewing evening, 27 October? Send an email quickly to kijkavondmartini@gmail.com , briefly tell us who you are, what you do, send a nice picture of yourself and who knows you might be invited to our viewing evening!Who knows, see you soon!Greetings from the house of Martini",True,13,https://www.facebook.com/groups/1379345962387168/posts/3360743794247365/
"#offerIn the period 1 December 2022 to 31 May 2023 a room will be available with us at the Hoogstraat. The room is approximately 16m2 and costs €346 per month including g/w/l.You share the house with 6 other residents, 4 males and 2 females. You share a bathroom with 2 other roommates and a large kitchen which is often the basis for a nice evening with all the roommates. We have a large garden and a balcony where you can relax in the summer.We are a close-knit dorm where you can call everyone your friend over time. You certainly don't have to be bored, with dinner there are people to eat together. Also a nice drink or a beer (in the city) always goes well.The house is about 10 min by bike from the city and about 15 min from the TUE/fontys. Just a few minutes walk from home you will soon find an app and Lidl that form the center of the always bustling district of Gestel.Send a nice and personal message to me if interested and who knows you will be invited to our viewing evening.Greetings to the high street slttenbende",True,5,https://www.facebook.com/groups/1379345962387168/posts/3365710170417394/
"Dear lady looking for a room,We are looking for a nice housemate for December 1 who wants to move in with us.It's a spacious house in Eindhoven. Within 5 minutes of cycling you'll be in the center. You share a large living room, open kitchen, bathroom and a cozy balcony with two roommates.You have the attic to yourself and it will cost €590 incl. for the entire house. Pay.The entire house is equipped with all facilities. Think dishwasher, washer, dryer, oven, airfryer, etc.We are two 20-year-old girls, both students and we like to have fun.We are looking for someone who likes to eat together, have drinks or do other fun things when appropriate. But of course there is plenty of space to do your own thing.The furniture in the pictures you can see belongs to the previous resident but we can take them over. We would like to make it our own place with you.Does this seem fun to you, then send us a message with some nice info and a picture of yourself.Watch night date to follow!Love Silke and Lise Stuulen",True,17,https://www.facebook.com/groups/1379345962387168/posts/3351664888488589/
"Looking for a flat/room?This furnished apartment has 2 bedrooms shared flat with fantastic views. Centrally located, Central Library, the new Passage, and a large variety of restaurants and entertainment. The Central Station and several buses are within a 5-minute reach. Perfect for ex-pats, and digital nomads working/living in and around the cosmopolitan urban center area of The city. Each room has a private bathroom and toilet, fully furnished and well equipped with good facilities. The neighborhood is quiet, with occasional parties on the weekend.Rent: €500 per room ( per month including all bills) whole flat is €1,000message me with a few words about yourself!",False,5,https://www.facebook.com/groups/1379345962387168/posts/3365022637152814/
"Hello,Because one of the housemates will be living in Wageningen for 2 months, a temporary room will be available for November and December. So you will be living in our beautiful house in the Wilde Woensel for 2 months, on the Franklin D. Roosevelt Avenue. The room is 15m^2 and also has a walk-in closet. The rent is €360. - including g/w/l + internet. The furniture will remain but personal items + piano will be taken.You will be living with 4 other roommates (3V, 1M), a washer and dryer, two toilets, a shower, two shared refrigerators and a roof terrace. The shopping mall WoenselXL is within walking distance, or if you are very lazy half a minute with the bus that stops right in front of the house. The TU/e and Fontys are easily reachable with a 15 minute bike ride. There is also a garage where you can safely park your bike. We are a cozy house where only the cleaning schedule is required. We are all studying (TU/e and Fontys) and are between 19 and 24 years old. We eat a lot together, have mariokart tournaments/movie nights and regularly exercise together.Greetings ",True,8,https://www.facebook.com/groups/1379345962387168/posts/3361532957501782/
"Hello Ladies looking for a room,The coziest house in the Stratum neighborhood, 'Villa Roostenlaan' is looking for a new (temporary) roommate from January 1, 2023 until the end of May/beginning of June (in consultation). Maybe after this period there is a possibility to postpone if a room becomes available.The room is 16 square meters (under a slanted roof) and is fully furnished (bed, fridge, clothes rack, clothes/storage cupboards, sofa and desk) so you can move right in. The room even has its own Wi-Fi router, which allows you to have the fastest Wi-Fi in the whole house. The price of the room is 285 euro excluding gas water light. The cost for GWL will be around 60 euros per month, depending on the gas prices. And for this price you also get 7 really nice roommates for free.You will be in the center within 10 minutes and even faster at Stratumseind. The TU/Fontys are also just a 15 minute bike ride (even 8 min. with the GoScooter). The Appie and the bus stop are in the street so you can crawl there. It's a close house where we often eat together, play games and hang out in front of the television. But where you have enough time for your own thing. We are looking for a fun girl who would like to have a good time with us. In our spacious shared living room we regularly watch Netflix or long live love. This spacious living room is of course also ideal for a good house party in time. Because that doesn't make us dirty either . Further, our house has a joint washing machine, dishwasher, garden and even a roof terrace.Do you think you fit in this picture? Send us a message telling us why you want to live with us! The viewing evening will take place on Wednesday 9th November (around 8:30pm) so save this date!Who knows, you'll soon be eating cheese with Kees, cooking with Saskia Ten Dam , crafts with Micky, sports with Jeroen and Tijn, open a bottle of wine with Zoë Mertens , and Kendama-and with Luuk!If you have specific questions, you can always send me a message.#Eindhoven #studentenkamer #tueindhoven #fontyseindhoven",True,10,https://www.facebook.com/groups/1379345962387168/posts/3360323737622704/
"[Rental November-February in Strijp, viewing evening on Friday 4 November]Ha future house mate!We are from California and we are looking for a housemate to join us from November to February (with a view to permanent)The room in our cozy house at Strijp-S has a surface area of 15m2 and its own wash basin. The room is located on the second floor of the house. In addition to the beautiful room, the price also includes 4 roommates: Vera, Matthijs, Tijn and Eefje. We are a relaxed house in which everyone enjoys doing what he/she wants. Well you can join us almost every evening to eat together on the roof terrace and the doors are almost always open for a chat, to watch a series or a game.Station Strijp-S, the bus stop and the supermarket are within walking distance and you are within a few steps to the nice Strijp-s. In addition, you are within 15 minutes by bike at the TU, Fontys or in the city. The furniture in the room just stays. This entire package is yours for €375/month incl. g/w/l, internet and washing machine.Does this really suit you? Send a nice message about yourself and maybe we'll see you at the viewing evening on November 4!In love with the Cali House",True,28,https://www.facebook.com/groups/1379345962387168/posts/3360589527596125/
"#Offer temporary with possible extensionDuchess Novadic is looking for a new cozy housemate!A temporary room will be available from November 1st to April 1st (with a chance of permanent accommodation! ) in our very centrally located student house at the Hertogstraat and we are looking for a new housemate. The room is 16 m2 and will cost €301 per month inclusive, and will be delivered fully furnished for the temporary period. The room is on the first floor on the street side and has two large windows with lots of light.We now live with 10 (4 ladies, 6 men) and share two spacious bathrooms, two kitchens and three toilets, so never wait! Of course we also have a washing machine and dryer. Not unimportant, we have a full beer fridge!We are an active house and do a lot together. Once a month we have a nice evening at home and we regularly study together, chill, watch a movie, etc. We also usually eat together and our doors are always open for each other. Even if the room is temporary we would like it if you join us in the house and are open for fun.Our student house is about 5 minutes walk from Stratumseind and by bike you can reach the TU/Fontys within 10 minutes. The bus stop is around the corner and there is a Jumbo 5 minute walk.Interested? Send me a message quickly for the viewing evening (Monday 31 October! ) with a brief description of yourself. Link your Instagram or send some pictures of yourself!Greetings,Koen Grisel , Flip Maes , Lotte, Freek Relou , @TAG@TAG , @TAG, Tom Weersink , Lizzy Louer Sanne Bär and Teun Bluemink",True,29,https://www.facebook.com/groups/1379345962387168/posts/3353380351650376/
"Room available in the Bakkerstraat! (V)A room (studio) is becoming available in our house. We live with 6, of which 2 women and 3 men. We are therefore looking for a new female housemate who is at least 20 years old. We eat together regularly and there is room for your own thing. Further, we share a garden, kitchen and laundry room. The room that is being released is +/- 23 m2 with its own bathroom and toilet. The price for this is €345,- euro exclusively per month. The costs for GWL and internet are €155 euro per month.In terms of location, you're also super here. You walk out of the street and find yourself in the middle of the Woenselse market. 3 min walk to Fontys (Rachelsmolen) and 5 min bike to the TU/e and the station. The Albert Heijn and Lidl are also around the corner here.If you are interested you can send a message!Greetings,Baker's house!Tariq MeulendijksEvita PfenningsSven KuijstenEstelle CrottStef Suetens",True,17,https://www.facebook.com/groups/1379345962387168/posts/3363035144018230/
"Tijdelijke kamer eindhovenBeste kamerzoekenden,Aangezien ik een semester naar het buitenland ga komt er in ons huis een tijdelijke kamer vrij (vanaf 1 janurari tot eind mei). In ons huis kan iedereen zijn eigen ding doen maar er is wel altijd de mogelijkheid om samen te eten. Je komt samen te wonen met 5 andere huisgenoten (3 vrouwen en 2 mannen). Het huis ligt op 3 minuten fietsen van de jumbo en op ongeveer 10 minuten fietsen van de TU/e en de stad. Het huis heeft verder een ruime achtertuin.De kamer is ongeveer 10 m2 en heeft grote ramen, een eigen wasbak en een kleine kelder. De kamer kost 290 euro per maand. De kamer is gemeubileerd (bed, bureau(stoel), koelkast etc.). Je kant vanaf 1 januari inhuizen.Spreekt ons huis jou aan en kan jij op 16 november bij de kijkavond zijn? Stuur mij dan een berichtje via Messenger.Groetjes, huize Sem",False,11,https://www.facebook.com/groups/1379345962387168/posts/3358017371186674/
